slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
1,2,1,1,9.0,2,2,1
2,1,1,1,11.0,3,1,2
3,2,1,0,17.0,4,2,3
4,2,0,0,23.0,5,3,4
5,2,1,1,17.0,6,4,1
6,1,1,0,23.0,7,5,2
7,1,0,0,29.0,8,6,3
8,1,1,1,23.0,9,1,4
9,2,1,0,29.0,10,2,5
10,2,1,1,20.0,11,3,1
11,0,1,1,15.0,1,4,2
12,1,1,1,13.0,2,1,3
13,2,1,1,10.0,3,2,1
14,1,1,1,12.0,4,1,2
15,2,1,1,12.0,5,2,1
16,0,1,1,13.0,1,3,2
17,2,1,0,19.0,2,4,3
18,2,0,0,25.0,3,5,4
19,2,1,1,19.0,4,6,1
20,1,0,0,25.0,5,7,2
21,1,1,1,17.0,6,1,3
22,2,0,0,23.0,7,2,4
23,2,1,1,17.0,8,3,1
24,0,1,1,15.0,1,4,2
25,1,1,1,13.0,2,1,3
26,2,1,1,10.0,3,2,1
27,1,1,1,12.0,4,1,2
28,2,1,1,12.0,5,2,1
29,0,1,1,13.0,1,3,2
30,2,1,1,13.0,2,4,1
31,1,1,1,11.0,3,1,2
32,2,1,1,11.0,4,2,1
33,1,1,1,13.0,5,1,2
34,2,1,1,13.0,6,2,1
35,0,1,0,19.0,7,3,2
36,0,0,0,25.0,8,4,3
37,2,1,1,22.0,9,5,1
38,1,1,1,18.0,10,1,2
39,0,1,1,14.0,1,2,3
40,2,0,0,20.0,2,3,4
41,2,0,0,26.0,3,4,5
42,2,0,0,32.0,4,5,6
43,2,1,1,20.0,5,6,1
44,1,0,0,26.0,6,7,2
45,1,1,1,18.0,7,1,3
46,2,1,1,15.0,8,2,1
47,0,1,1,13.0,1,3,2
48,2,1,1,13.0,2,4,1
49,1,1,1,11.0,3,1,2
50,2,1,0,17.0,4,2,3
51,2,0,0,23.0,5,3,4
52,2,1,0,29.0,6,4,5
53,2,0,0,35.0,7,5,6
54,2,1,1,23.0,8,6,1
55,1,1,0,29.0,9,7,2
56,1,1,1,21.0,10,1,3
57,0,1,1,17.0,1,2,4
58,2,1,1,11.0,2,3,1
