slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
1,0,1,1,11.0,1,2,2
2,1,1,1,13.0,2,1,3
3,2,1,0,19.0,3,2,4
4,1,0,0,25.0,4,3,5
5,0,1,1,27.0,1,4,6
6,1,1,0,33.0,2,5,7
7,2,0,0,39.0,3,6,8
8,1,1,1,33.0,4,1,9
9,0,1,1,35.0,1,2,10
10,1,1,1,37.0,2,1,11
11,2,1,1,10.0,3,2,1
12,1,1,1,12.0,4,1,2
13,0,1,1,14.0,1,2,3
14,1,1,1,16.0,2,1,4
15,2,1,1,10.0,3,2,1
16,1,1,1,12.0,4,1,2
17,0,1,1,14.0,1,2,3
18,1,1,1,16.0,2,1,4
19,2,1,0,22.0,3,2,5
20,1,1,1,24.0,4,1,6
21,0,1,1,26.0,1,2,7
22,1,1,1,28.0,2,1,8
23,2,1,0,34.0,3,2,9
24,1,1,1,36.0,4,1,10
25,0,1,1,38.0,1,2,11
26,1,1,1,40.0,2,1,12
27,2,1,1,10.0,3,2,1
28,1,1,1,12.0,4,1,2
29,0,1,1,14.0,1,2,3
30,1,1,1,16.0,2,1,4
31,2,1,0,22.0,3,2,5
32,1,1,1,24.0,4,1,6
33,0,1,1,26.0,1,2,7
34,1,0,0,32.0,2,3,8
35,2,0,0,38.0,3,4,9
36,1,1,1,36.0,4,1,10
37,0,1,1,38.0,1,2,11
38,1,1,1,40.0,2,1,12
39,2,0,0,46.0,3,2,13
40,1,0,0,52.0,4,3,14
41,0,1,1,54.0,1,4,15
42,1,1,0,60.0,2,5,16
43,2,1,1,18.0,3,6,1
44,1,1,1,12.0,4,1,2
45,0,1,1,14.0,1,2,3
46,1,1,1,16.0,2,1,4
47,2,1,1,10.0,3,2,1
48,1,1,0,16.0,4,3,2
49,0,1,1,18.0,1,4,3
50,1,0,0,24.0,2,5,4
51,2,0,0,30.0,3,6,5
52,1,1,1,24.0,4,1,6
53,0,1,0,30.0,5,2,7
54,1,1,1,32.0,6,1,8
55,2,0,0,38.0,7,2,9
56,1,1,1,40.0,8,1,10
57,0,1,1,38.0,1,2,11
58,1,1,1,40.0,2,1,12
59,2,0,0,46.0,3,2,13
60,1,1,1,48.0,4,1,14
61,0,1,1,50.0,1,2,15
62,1,1,1,52.0,2,1,16
63,2,1,1,10.0,3,2,1
64,1,1,1,12.0,4,1,2
65,0,1,1,14.0,1,2,3
66,1,1,0,20.0,2,3,4
67,2,1,1,14.0,3,4,1
68,1,1,1,12.0,4,1,2
69,0,1,1,14.0,1,2,3
70,1,1,1,16.0,2,1,4
71,2,0,0,22.0,3,2,5
72,1,1,1,24.0,4,1,6
73,0,1,1,26.0,1,2,7
74,1,1,1,28.0,2,1,8
75,2,0,0,34.0,3,2,9
76,1,1,1,36.0,4,1,10
77,0,1,1,38.0,1,2,11
78,1,1,1,40.0,2,1,12
79,2,0,0,46.0,3,2,13
80,1,1,1,48.0,4,1,14
81,0,1,1,50.0,1,2,15
