slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
1,2,1,1,9.0,2,2,1
2,0,1,1,13.0,1,3,2
3,2,0,0,19.0,2,4,3
4,2,1,1,16.0,3,5,1
5,0,0,0,22.0,4,6,2
6,0,1,1,24.0,1,7,3
7,1,1,0,30.0,2,8,4
8,2,1,1,24.0,3,9,1
9,0,1,1,27.0,1,10,2
10,0,1,1,32.0,1,11,3
11,2,1,1,29.0,2,12,1
12,0,1,1,33.0,1,13,2
13,0,1,1,38.0,1,14,3
14,1,0,0,44.0,2,15,4
15,2,1,1,38.0,3,16,1
16,2,0,0,44.0,4,17,2
17,2,1,0,50.0,5,18,3
18,1,1,1,20.0,6,1,4
19,1,1,1,24.0,7,1,5
20,0,1,1,23.0,1,2,6
21,1,1,1,25.0,2,1,7
22,1,1,1,29.0,3,1,8
23,0,1,1,32.0,1,2,9
24,1,1,1,34.0,2,1,10
25,2,1,1,10.0,3,2,1
26,1,1,1,12.0,4,1,2
27,2,1,1,12.0,5,2,1
28,0,1,0,18.0,6,3,2
29,1,1,1,18.0,7,1,3
30,0,1,1,17.0,1,2,4
31,1,1,0,23.0,2,3,5
32,1,0,0,29.0,3,4,6
33,2,1,0,35.0,4,5,7
34,1,1,1,31.0,5,1,8
35,2,1,1,13.0,6,2,1
36,0,1,1,13.0,1,3,2
37,2,1,1,13.0,2,4,1
38,1,1,0,19.0,3,5,2
39,0,1,0,25.0,4,6,3
40,2,0,0,31.0,5,7,4
41,1,1,1,23.0,6,1,5
42,1,0,0,29.0,7,2,6
43,2,1,0,35.0,8,3,7
44,0,1,1,33.0,1,4,8
45,0,1,1,38.0,1,5,9
46,1,1,0,44.0,2,6,10
47,1,1,1,38.0,3,1,11
48,1,1,1,42.0,4,1,12
49,2,1,1,12.0,5,2,1
50,0,1,1,13.0,1,3,2
51,1,1,1,13.0,2,1,3
52,0,1,1,17.0,1,2,4
53,2,1,1,11.0,2,3,1
54,0,1,1,15.0,1,4,2
55,0,1,0,21.0,2,5,3
56,1,1,1,17.0,3,1,4
57,1,1,1,21.0,4,1,5
58,2,1,0,27.0,5,2,6
59,2,1,1,15.0,6,3,1
60,1,1,1,15.0,7,1,2
61,0,0,0,21.0,8,2,3
62,1,1,1,23.0,9,1,4
63,1,1,1,27.0,10,1,5
64,1,0,0,33.0,11,2,6
65,1,1,1,35.0,12,1,7
66,0,1,1,29.0,1,2,8
67,0,1,1,34.0,1,3,9
68,2,0,0,40.0,2,4,10
69,2,1,1,16.0,3,5,1
70,1,1,1,12.0,4,1,2
71,0,0,0,18.0,5,2,3
72,0,1,1,19.0,1,3,4
73,2,1,1,13.0,2,4,1
74,1,1,0,19.0,3,5,2
75,0,1,1,22.0,1,6,3
76,2,1,0,28.0,2,7,4
77,2,1,0,34.0,3,8,5
78,0,1,0,40.0,4,9,6
79,2,1,0,46.0,5,10,7
80,0,1,1,47.0,1,11,8
81,1,1,1,31.0,2,1,9
82,0,1,1,35.0,1,2,10
83,1,1,0,41.0,2,3,11
84,1,1,1,41.0,3,1,12
85,2,0,0,47.0,4,2,13
86,1,1,1,49.0,5,1,14
87,2,0,0,55.0,6,2,15
88,2,0,0,61.0,7,3,16
89,1,1,0,67.0,8,4,17
90,0,1,1,65.0,1,5,18
91,0,1,1,70.0,1,6,19
92,1,1,1,64.0,2,1,20
93,1,0,0,70.0,3,2,21
94,0,1,1,73.0,1,3,22
95,0,1,1,78.0,1,4,23
96,1,1,1,76.0,2,1,24
97,1,1,0,82.0,3,2,25
98,0,1,1,85.0,1,3,26
99,1,1,0,91.0,2,4,27
100,0,1,1,95.0,1,5,28
101,1,1,1,91.0,2,1,29
102,1,1,1,95.0,3,1,30
103,1,0,0,101.0,4,2,31
104,2,0,0,107.0,5,3,32
105,0,1,1,108.0,1,4,33
106,1,1,1,106.0,2,1,34
107,2,1,0,112.0,3,2,35
108,0,1,1,115.0,1,3,36
109,0,1,1,120.0,1,4,37
110,2,1,0,126.0,2,5,38
111,1,1,0,132.0,3,6,39
112,2,1,1,21.0,4,7,1
113,1,1,1,13.0,5,1,2
114,2,1,1,13.0,6,2,1
115,2,1,1,16.0,7,3,1
116,2,0,0,22.0,8,4,2
117,1,1,1,20.0,9,1,3
118,2,1,1,17.0,10,2,1
119,1,1,1,19.0,11,1,2
120,0,1,1,14.0,1,2,3
121,1,1,0,20.0,2,3,4
122,0,1,1,24.0,1,4,5
123,0,1,1,29.0,1,5,6
124,2,1,1,17.0,2,6,1
125,0,1,1,21.0,1,7,2
