experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s
channel_sensitivity,uniform,0,whittle,3000,48.964333333333336,126.0,5.711,21.0,1.0,4.826,21.0,1.5,4.540333333333334,16.0,2.0,3.8173333333333335,14.0,3.0,3.0963333333333334,11.0,5.0,21.0,2.0,3.818,0.0030280906666666665,0.022276428062468767
channel_sensitivity,uniform,0,round_robin,3000,62.077,198.0,4.125,25.0,1.0,4.264,25.0,1.5,4.790333333333334,20.0,2.0,4.9223333333333334,25.0,3.0,5.441666666666666,30.0,5.0,30.0,2.0,5.051444444444445,0.00012629133333333332,0.012534000095911324
channel_sensitivity,uniform,0,periodic,3000,76.1775,160.5,9.967666666666666,52.0,1.0,6.871666666666667,26.0,1.5,7.269333333333333,26.0,2.0,6.254,26.0,3.0,4.520333333333333,15.0,5.0,52.0,2.0,6.014555555555556,0.00012279733333333333,0.012335996958427131
channel_sensitivity,uniform,0,greedy,3000,51.449333333333335,130.5,8.604333333333333,28.0,1.0,6.092666666666666,23.0,1.5,4.958,16.0,2.0,3.671666666666667,13.0,3.0,2.555,9.0,5.0,28.0,2.0,3.728222222222222,0.0007251416666666666,0.014221140998415649
channel_sensitivity,uniform,0,random,3000,88.20166666666667,320.5,6.462,43.0,1.0,6.032,35.0,1.5,6.820333333333333,34.0,2.0,7.375333333333334,50.0,3.0,7.385,46.0,5.0,50.0,2.0,7.193555555555555,0.0013546189999999998,0.01628883695229888
channel_sensitivity,uniform,1,whittle,3000,47.554833333333335,138.0,5.498,20.0,1.0,4.701,15.0,1.5,4.442333333333333,16.0,2.0,3.6813333333333333,13.0,3.0,3.0153333333333334,11.0,5.0,20.0,2.0,3.7129999999999996,0.0031127846666666663,0.023224276024848223
channel_sensitivity,uniform,1,round_robin,3000,60.730333333333334,158.0,4.416666666666667,30.0,1.0,4.290666666666667,25.0,1.5,4.382,30.0,2.0,4.857333333333333,25.0,3.0,5.308333333333334,25.0,5.0,30.0,2.0,4.849222222222222,0.00013053666666666667,0.01316038507502526
channel_sensitivity,uniform,1,periodic,3000,75.064,185.0,8.966666666666667,39.0,1.0,6.833333333333333,26.0,1.5,7.434333333333333,51.0,2.0,6.092333333333333,26.0,3.0,4.540333333333334,23.0,5.0,51.0,2.0,6.022333333333333,0.00012933066666666668,0.013083689962513745
channel_sensitivity,uniform,1,greedy,3000,49.577666666666666,130.5,8.212666666666667,27.0,1.0,5.902666666666667,18.0,1.5,4.7843333333333335,19.0,2.0,3.543,12.0,3.0,2.462666666666667,8.0,5.0,27.0,2.0,3.596666666666667,0.0007518733333333333,0.014867824036628008
channel_sensitivity,uniform,1,random,3000,85.63816666666666,275.0,6.782666666666667,37.0,1.0,6.189,36.0,1.5,6.033,34.0,2.0,7.233666666666666,40.0,3.0,7.161,46.0,5.0,46.0,2.0,6.809222222222222,0.0014251323333333333,0.017238614964298904
channel_sensitivity,uniform,2,whittle,3000,48.94283333333333,139.5,5.685,19.0,1.0,4.851666666666667,15.0,1.5,4.481,16.0,2.0,3.8183333333333334,12.0,3.0,3.1126666666666667,12.0,5.0,19.0,2.0,3.804,0.0029097616666666666,0.02188749995548278
channel_sensitivity,uniform,2,round_robin,3000,61.038666666666664,180.5,4.208333333333333,20.0,1.0,4.390666666666666,25.0,1.5,4.732,25.0,2.0,4.899,25.0,3.0,5.216666666666667,25.0,5.0,25.0,2.0,4.949222222222223,0.000124021,0.012452829978428781
channel_sensitivity,uniform,2,periodic,3000,76.30283333333334,208.5,10.149666666666667,65.0,1.0,6.980333333333333,26.0,1.5,7.096333333333333,27.0,2.0,6.235,26.0,3.0,4.557,23.0,5.0,65.0,2.0,5.962777777777778,0.00012237466666666666,0.01223610807210207
channel_sensitivity,uniform,2,greedy,3000,51.62166666666667,128.5,8.525,27.0,1.0,6.133333333333334,22.0,1.5,4.931666666666667,16.0,2.0,3.73,12.0,3.0,2.5686666666666667,10.0,5.0,27.0,2.0,3.7434444444444446,0.0007234123333333334,0.014200187986716628
channel_sensitivity,uniform,2,random,3000,88.803,302.5,5.774666666666667,34.0,1.0,6.3933333333333335,35.0,1.5,6.915666666666667,37.0,2.0,7.319,42.0,3.0,7.53,49.0,5.0,49.0,2.0,7.254888888888889,0.0013214706666666667,0.016247599967755377
channel_sensitivity,uniform,3,whittle,3000,48.150166666666664,132.5,5.5056666666666665,18.0,1.0,4.799,15.0,1.5,4.364,14.0,2.0,3.7576666666666667,13.0,3.0,3.089,12.0,5.0,18.0,2.0,3.7368888888888887,0.0029009126666666666,0.021817496046423912
channel_sensitivity,uniform,3,round_robin,3000,61.517833333333336,203.0,4.125,25.0,1.0,4.392333333333333,25.0,1.5,4.570333333333333,25.0,2.0,5.040666666666667,30.0,3.0,5.308333333333334,30.0,5.0,30.0,2.0,4.973111111111112,0.00011929766666666667,0.01237887202296406
channel_sensitivity,uniform,3,periodic,3000,75.01383333333334,156.5,10.149666666666667,52.0,1.0,6.915666666666667,26.0,1.5,7.015333333333333,26.0,2.0,5.96,26.0,3.0,4.516,23.0,5.0,52.0,2.0,5.830444444444445,0.00012126466666666666,0.012232212000526488
channel_sensitivity,uniform,3,greedy,3000,50.630833333333335,133.0,8.351666666666667,25.0,1.0,6.049666666666667,18.0,1.5,4.8773333333333335,16.0,2.0,3.645,12.0,3.0,2.503,10.0,5.0,25.0,2.0,3.675111111111111,0.000716695,0.014137460035271943
channel_sensitivity,uniform,3,random,3000,85.452,280.5,5.6546666666666665,33.0,1.0,6.343333333333334,33.0,1.5,6.793,51.0,2.0,6.102666666666667,33.0,3.0,7.677666666666667,51.0,5.0,51.0,2.0,6.857777777777778,0.0013356123333333333,0.016297540976665914
channel_sensitivity,uniform,4,whittle,3000,48.41733333333333,130.5,5.619666666666666,19.0,1.0,4.749333333333333,16.0,1.5,4.415,14.0,2.0,3.7906666666666666,14.0,3.0,3.094333333333333,11.0,5.0,19.0,2.0,3.766666666666666,0.00292067,0.022041763993911445
channel_sensitivity,uniform,4,round_robin,3000,60.597833333333334,193.0,4.183333333333334,20.0,1.0,4.4223333333333334,25.0,1.5,4.540333333333334,25.0,2.0,4.997333333333334,35.0,3.0,5.141666666666667,30.0,5.0,35.0,2.0,4.893111111111111,0.00012986566666666667,0.01258462795522064
channel_sensitivity,uniform,4,periodic,3000,75.035,163.0,9.980666666666666,52.0,1.0,6.728,25.0,1.5,7.040666666666667,38.0,2.0,6.115333333333333,25.0,3.0,4.507,14.0,5.0,52.0,2.0,5.887666666666665,0.00012129533333333333,0.012395772035233676
channel_sensitivity,uniform,4,greedy,3000,50.4705,143.0,8.288333333333334,28.0,1.0,6.066333333333334,22.0,1.5,4.871,15.0,2.0,3.6146666666666665,14.0,3.0,2.4993333333333334,10.0,5.0,28.0,2.0,3.6616666666666666,0.0007355863333333333,0.014242270030081272
channel_sensitivity,uniform,4,random,3000,86.62183333333333,314.5,5.783333333333333,34.0,1.0,6.106333333333334,32.0,1.5,6.007666666666666,34.0,2.0,6.690666666666667,34.0,3.0,7.918333333333333,50.0,5.0,50.0,2.0,6.872222222222223,0.0013389866666666667,0.016112408018670976
channel_sensitivity,uniform,5,whittle,3000,48.93383333333333,130.0,5.689333333333333,22.0,1.0,4.796333333333333,17.0,1.5,4.539333333333333,15.0,2.0,3.7843333333333335,13.0,3.0,3.123666666666667,11.0,5.0,22.0,2.0,3.8157777777777784,0.0029473163333333333,0.022205700050108135
channel_sensitivity,uniform,5,round_robin,3000,60.99616666666667,183.0,4.358333333333333,25.0,1.0,4.652333333333333,30.0,1.5,4.768666666666666,30.0,2.0,4.982333333333333,30.0,3.0,5.035,30.0,5.0,30.0,2.0,4.9286666666666665,0.00012525933333333334,0.012705298024229705
channel_sensitivity,uniform,5,periodic,3000,74.44566666666667,177.0,9.248333333333333,52.0,1.0,7.206666666666667,38.0,1.5,6.985666666666667,26.0,2.0,5.855333333333333,14.0,3.0,4.57,16.0,5.0,52.0,2.0,5.803666666666667,0.00011911766666666666,0.01242734701372683
channel_sensitivity,uniform,5,greedy,3000,51.33283333333333,131.0,8.433666666666667,26.0,1.0,6.134333333333333,21.0,1.5,4.9446666666666665,16.0,2.0,3.6883333333333335,12.0,3.0,2.5486666666666666,9.0,5.0,26.0,2.0,3.7272222222222218,0.0007199966666666666,0.014309247024357319
channel_sensitivity,uniform,5,random,3000,87.74983333333333,283.5,5.693,35.0,1.0,5.774333333333334,43.0,1.5,6.778666666666667,39.0,2.0,6.687666666666667,36.0,3.0,7.955,52.0,5.0,52.0,2.0,7.140444444444445,0.0013504116666666667,0.016433899058029056
