experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s
peak_aoi,baseline,0,whittle,5000,53.6146,162.5,5.892,22.0,1.0,4.9836,18.0,1.5,4.718,19.0,2.0,4.1764,17.0,3.0,3.6564,14.0,5.0,22.0,2.0,4.1836,0.0029959846,0.0367659660987556
peak_aoi,baseline,0,round_robin,5000,71.1062,250.5,3.74,25.0,1.0,4.3084,25.0,1.5,4.8392,25.0,2.0,5.7134,30.0,3.0,6.817,40.0,5.0,40.0,2.0,5.789866666666666,0.000127052,0.020935752079822123
peak_aoi,baseline,0,periodic,5000,80.8126,209.0,9.193,39.0,1.0,6.7264,38.0,1.5,7.4582,39.0,2.0,6.8262,38.0,3.0,5.227,28.0,5.0,39.0,2.0,6.503800000000001,0.0001204494,0.02047204994596541
peak_aoi,baseline,0,greedy,5000,56.8062,181.5,9.0902,36.0,1.0,6.6552,30.0,1.5,5.3518,21.0,2.0,4.0552,17.0,3.0,2.9728,13.0,5.0,36.0,2.0,4.1266,0.000742317,0.023683393956162035
peak_aoi,baseline,0,random,5000,98.8355,384.5,5.7302,31.0,1.0,6.0358,34.0,1.5,6.751,36.0,2.0,7.5622,50.0,3.0,9.5726,59.0,5.0,59.0,2.0,7.9619333333333335,0.0013692484,0.027447727043181658
peak_aoi,baseline,1,whittle,5000,51.5003,144.5,5.5834,20.0,1.0,4.8718,16.0,1.5,4.549,17.0,2.0,4.0154,14.0,3.0,3.493,13.0,5.0,20.0,2.0,4.0191333333333334,0.0028907232,0.03580690501257777
peak_aoi,baseline,1,round_robin,5000,71.2012,320.5,3.69,20.0,1.0,4.1324,30.0,1.5,4.5192,30.0,2.0,5.5314,30.0,3.0,7.136,55.0,5.0,55.0,2.0,5.728866666666666,0.0001230582,0.020851866924203932
peak_aoi,baseline,1,periodic,5000,78.0203,212.5,8.348,39.0,1.0,6.7158,26.0,1.5,7.2706,51.0,2.0,6.5138,26.0,3.0,5.1032,28.0,5.0,51.0,2.0,6.295866666666666,0.0001209028,0.02069451508577913
peak_aoi,baseline,1,greedy,5000,54.7675,171.5,8.7508,29.0,1.0,6.405,21.0,1.5,5.2706,23.0,2.0,3.909,17.0,3.0,2.8282,12.0,5.0,29.0,2.0,4.0026,0.0007126138,0.023350117029622197
peak_aoi,baseline,1,random,5000,91.5098,275.0,6.0642,37.0,1.0,5.9164,40.0,1.5,6.219,34.0,2.0,7.596,40.0,3.0,8.269,46.0,5.0,46.0,2.0,7.361333333333334,0.00135563,0.02731411496642977
