experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s
weight_sensitivity,high_w_2,0,whittle,3000,25.037,71.0,4.36,17.0,1.0,4.373666666666667,17.0,1.0,4.384666666666667,17.0,1.0,4.414,19.0,1.0,3.7523333333333335,14.0,2.0,19.0,2.0,3.7523333333333335,0.002905607,0.021800960996188223
weight_sensitivity,high_w_2,0,round_robin,3000,30.251666666666665,95.0,3.7416666666666667,25.0,1.0,4.1306666666666665,25.0,1.0,4.898666666666666,20.0,1.0,5.330666666666667,30.0,1.0,6.075,40.0,2.0,40.0,2.0,6.075,0.000122929,0.012481028097681701
weight_sensitivity,high_w_2,0,periodic,3000,31.001333333333335,82.0,4.364,24.0,1.0,5.190666666666667,30.0,1.0,5.934,30.0,1.0,6.314,30.0,1.0,4.599333333333333,30.0,2.0,30.0,2.0,4.599333333333333,0.00012177933333333332,0.01242864690721035
weight_sensitivity,high_w_2,0,greedy,3000,25.639,70.0,4.923666666666667,18.0,1.0,4.943666666666667,20.0,1.0,4.94,19.0,1.0,4.921666666666667,18.0,1.0,2.955,12.0,2.0,20.0,2.0,2.955,0.000708646,0.014123289962299168
weight_sensitivity,high_w_2,0,random,3000,42.742666666666665,123.0,5.817333333333333,31.0,1.0,5.918666666666667,34.0,1.0,6.932333333333333,34.0,1.0,7.641666666666667,50.0,1.0,8.216333333333333,46.0,2.0,50.0,2.0,8.216333333333333,0.0013417326666666667,0.016053844010457397
weight_sensitivity,high_w_2,1,whittle,3000,24.453,70.0,4.275333333333333,14.0,1.0,4.278333333333333,14.0,1.0,4.3036666666666665,16.0,1.0,4.319,15.0,1.0,3.638333333333333,13.0,2.0,16.0,2.0,3.638333333333333,0.0028717606666666664,0.021722781006246805
weight_sensitivity,high_w_2,1,round_robin,3000,29.846666666666668,90.0,3.775,20.0,1.0,4.065666666666667,25.0,1.0,4.448666666666667,30.0,1.0,5.274,30.0,1.0,6.141666666666667,30.0,2.0,30.0,2.0,6.141666666666667,0.00012418300000000001,0.012608121964149177
weight_sensitivity,high_w_2,1,periodic,3000,29.588,82.0,4.172,18.0,1.0,4.6146666666666665,24.0,1.0,5.478,24.0,1.0,6.372,48.0,1.0,4.475666666666666,29.0,2.0,48.0,2.0,4.475666666666666,0.00011969533333333333,0.012382667046040297
weight_sensitivity,high_w_2,1,greedy,3000,25.328666666666667,87.0,4.877,19.0,1.0,4.8726666666666665,19.0,1.0,4.865,17.0,1.0,4.871333333333333,18.0,1.0,2.921333333333333,15.0,2.0,19.0,2.0,2.921333333333333,0.0007033143333333334,0.014098809915594757
weight_sensitivity,high_w_2,1,random,3000,41.857,111.0,6.3693333333333335,37.0,1.0,5.953333333333333,36.0,1.0,6.102333333333333,34.0,1.0,7.544666666666667,40.0,1.0,7.943666666666667,46.0,2.0,46.0,2.0,7.943666666666667,0.0013483866666666668,0.016162032959982753
