slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
1,2,1,1,9.0,2,2,1
2,0,1,1,13.0,1,3,2
3,2,0,0,19.0,2,4,3
4,2,1,1,16.0,3,5,1
5,0,0,0,22.0,4,6,2
6,0,1,1,24.0,1,7,3
7,1,1,0,30.0,2,8,4
8,2,1,1,24.0,3,9,1
9,0,1,1,27.0,1,10,2
10,0,1,1,32.0,1,11,3
11,2,1,1,29.0,2,12,1
12,0,1,1,33.0,1,13,2
13,0,1,1,38.0,1,14,3
14,1,0,0,44.0,2,15,4
15,2,1,1,38.0,3,16,1
16,2,0,0,44.0,4,17,2
17,2,1,0,50.0,5,18,3
18,1,1,1,20.0,6,1,4
19,1,1,1,24.0,7,1,5
20,0,1,1,23.0,1,2,6
21,1,1,1,25.0,2,1,7
22,1,1,1,29.0,3,1,8
23,0,1,1,32.0,1,2,9
24,1,1,1,34.0,2,1,10
25,2,1,1,10.0,3,2,1
26,1,1,1,12.0,4,1,2
27,2,1,1,12.0,5,2,1
28,0,1,0,18.0,6,3,2
29,1,1,1,18.0,7,1,3
30,0,1,1,17.0,1,2,4
31,1,1,0,23.0,2,3,5
32,1,0,0,29.0,3,4,6
33,2,1,0,35.0,4,5,7
34,1,1,1,31.0,5,1,8
35,2,1,1,13.0,6,2,1
36,0,1,1,13.0,1,3,2
37,2,1,1,13.0,2,4,1
38,1,1,0,19.0,3,5,2
39,0,1,0,25.0,4,6,3
40,2,0,0,31.0,5,7,4
41,1,1,1,23.0,6,1,5
42,1,0,0,29.0,7,2,6
43,2,1,0,35.0,8,3,7
44,0,1,1,33.0,1,4,8
45,0,1,1,38.0,1,5,9
46,1,1,0,44.0,2,6,10
47,1,1,1,38.0,3,1,11
48,1,1,1,42.0,4,1,12
49,2,1,1,12.0,5,2,1
50,0,1,1,13.0,1,3,2
51,1,1,1,13.0,2,1,3
52,0,1,1,17.0,1,2,4
53,2,1,1,11.0,2,3,1
54,0,1,1,15.0,1,4,2
55,0,1,0,21.0,2,5,3
56,1,1,1,17.0,3,1,4
57,1,1,1,21.0,4,1,5
58,2,1,0,27.0,5,2,6
59,2,1,1,15.0,6,3,1
60,1,1,1,15.0,7,1,2
61,0,0,0,21.0,8,2,3
62,1,1,1,23.0,9,1,4
63,1,1,1,27.0,10,1,5
64,1,0,0,33.0,11,2,6
65,1,1,1,35.0,12,1,7
66,0,1,1,29.0,1,2,8
67,0,1,1,34.0,1,3,9
68,2,0,0,40.0,2,4,10
69,2,1,1,16.0,3,5,1
70,1,1,1,12.0,4,1,2
71,0,0,0,18.0,5,2,3
72,0,1,1,19.0,1,3,4
73,2,1,1,13.0,2,4,1
74,1,1,0,19.0,3,5,2
75,0,1,1,22.0,1,6,3
76,2,1,0,28.0,2,7,4
77,2,1,0,34.0,3,8,5
78,0,1,0,40.0,4,9,6
79,2,1,0,46.0,5,10,7
80,0,1,1,47.0,1,11,8
