state,optimal_action,value_function,q_passive,q_active
1,passive,0.0,1.6111110826134762,2.7222222165226952
2,active,3.6111110827092183,6.111110826613476,5.222222165322695
3,active,6.1111108267092185,10.611109546613477,7.722221909322695
4,active,8.61110954670922,15.111103146613477,10.222220629322695
5,active,11.111103146709219,19.611071146613476,12.722214229322695
6,active,13.611071146709218,24.110911146613475,15.222182229322694
7,active,16.110911146709217,28.610111146613477,17.722022229322693
8,active,18.61011114670922,33.10611114661347,20.221222229322695
9,active,21.106111146709218,37.586111146613476,22.717222229322694
10,active,23.586111146709218,41.986111146613474,25.197222229322694
11,active,25.986111146709217,45.986111146613474,27.597222229322693
12,active,27.986111146709217,47.986111146613474,29.597222229322693
