scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4
N3_demo,0,whittle,300,17.893333333333334,47.0,3.5933333333333333,13.0,1.0,2.9,10.0,2.0,2.8333333333333335,9.0,3.0,13.0,2.0,2.8666666666666667,,,,,,
N3_demo,0,round_robin,300,22.863333333333333,64.0,2.57,12.0,1.0,3.3066666666666666,12.0,2.0,4.56,18.0,3.0,18.0,2.0,3.933333333333333,,,,,,
N3_demo,0,periodic,300,24.516666666666666,61.0,5.06,24.0,1.0,3.8733333333333335,12.0,2.0,3.9033333333333333,17.0,3.0,24.0,2.0,3.8883333333333336,,,,,,
N3_demo,0,greedy,300,19.30666666666667,55.0,4.6033333333333335,12.0,1.0,3.4066666666666667,10.0,2.0,2.63,10.0,3.0,12.0,2.0,3.0183333333333335,,,,,,
N3_demo,0,random,300,34.96666666666667,132.0,3.5633333333333335,12.0,1.0,4.036666666666667,18.0,2.0,7.776666666666666,39.0,3.0,39.0,2.0,5.906666666666666,,,,,,
N3_demo,1,whittle,300,16.483333333333334,41.0,3.296666666666667,12.0,1.0,2.683333333333333,9.0,2.0,2.6066666666666665,7.0,3.0,12.0,2.0,2.6449999999999996,,,,,,
N3_demo,1,round_robin,300,21.293333333333333,55.0,2.3,6.0,1.0,2.716666666666667,9.0,2.0,4.52,15.0,3.0,15.0,2.0,3.618333333333333,,,,,,
N3_demo,1,periodic,300,22.07,92.0,4.1,12.0,1.0,4.06,23.0,2.0,3.283333333333333,17.0,3.0,23.0,2.0,3.6716666666666664,,,,,,
N3_demo,1,greedy,300,17.973333333333333,54.0,4.69,14.0,1.0,3.1566666666666667,14.0,2.0,2.3233333333333333,8.0,3.0,14.0,2.0,2.74,,,,,,
N3_demo,1,random,300,24.956666666666667,70.0,3.8233333333333333,22.0,1.0,3.1566666666666667,16.0,2.0,4.94,19.0,3.0,22.0,2.0,4.048333333333334,,,,,,
N3_demo,2,whittle,300,18.613333333333333,55.0,3.63,11.0,1.0,2.9366666666666665,9.0,2.0,3.0366666666666666,10.0,3.0,11.0,2.0,2.9866666666666664,,,,,,
N3_demo,2,round_robin,300,25.463333333333335,73.0,2.6,9.0,1.0,3.256666666666667,12.0,2.0,5.45,21.0,3.0,21.0,2.0,4.3533333333333335,,,,,,
N3_demo,2,periodic,300,22.203333333333333,56.0,4.1,12.0,1.0,3.8466666666666667,17.0,2.0,3.47,13.0,3.0,17.0,2.0,3.658333333333333,,,,,,
N3_demo,2,greedy,300,19.136666666666667,55.0,4.706666666666667,12.0,1.0,3.29,11.0,2.0,2.6166666666666667,9.0,3.0,12.0,2.0,2.953333333333333,,,,,,
N3_demo,2,random,300,26.29,74.0,3.1366666666666667,15.0,1.0,4.516666666666667,20.0,2.0,4.706666666666667,19.0,3.0,20.0,2.0,4.611666666666666,,,,,,
N5_hetero,0,whittle,300,53.38333333333333,123.0,5.743333333333333,14.0,1.0,4.833333333333333,12.0,1.5,4.84,14.0,2.0,14.0,2.0,4.216666666666667,4.17,10.0,3.0,3.64,12.0,5.0
N5_hetero,0,round_robin,300,74.845,208.0,3.5,10.0,1.0,4.323333333333333,15.0,1.5,6.07,30.0,2.0,30.0,2.0,6.436666666666667,6.74,25.0,3.0,6.5,30.0,5.0
N5_hetero,0,periodic,300,84.62666666666667,160.5,7.543333333333333,26.0,1.0,6.866666666666666,26.0,1.5,7.006666666666667,25.0,2.0,26.0,2.0,6.774444444444445,6.906666666666666,24.0,3.0,6.41,24.0,5.0
N5_hetero,0,greedy,300,59.373333333333335,123.0,9.203333333333333,25.0,1.0,6.92,19.0,1.5,5.5633333333333335,18.0,2.0,25.0,2.0,4.34,4.31,11.0,3.0,3.1466666666666665,9.0,5.0
N5_hetero,0,random,300,104.24833333333333,228.0,4.876666666666667,24.0,1.0,7.57,31.0,1.5,6.006666666666667,18.0,2.0,32.0,2.0,8.287777777777778,9.14,32.0,3.0,9.716666666666667,32.0,5.0
N5_hetero,1,whittle,300,53.305,118.5,5.78,13.0,1.0,4.743333333333333,14.0,1.5,4.596666666666667,13.0,2.0,14.0,2.0,4.2,4.4,12.0,3.0,3.6033333333333335,11.0,5.0
N5_hetero,1,round_robin,300,74.02833333333334,270.5,3.5833333333333335,10.0,1.0,3.6566666666666667,15.0,1.5,4.453333333333333,15.0,2.0,40.0,2.0,6.008888888888889,5.906666666666666,25.0,3.0,7.666666666666667,40.0,5.0
