scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,avg_aoi_5,peak_aoi_5,weight_5,avg_aoi_6,peak_aoi_6,weight_6,avg_aoi_7,peak_aoi_7,weight_7
N3_demo_final,0,whittle,5000,18.9106,79.0,3.7062,19.0,1.0,3.0224,17.0,2.0,3.0532,16.0,3.0,19.0,2.0,3.0378,,,,,,,,,,,,,,,
N3_demo_final,0,round_robin,5000,23.6958,154.0,2.5578,12.0,1.0,3.4188,24.0,2.0,4.7668,42.0,3.0,42.0,2.0,4.0928,,,,,,,,,,,,,,,
N3_demo_final,0,periodic,5000,23.7978,115.0,4.716,30.0,1.0,3.8742,23.0,2.0,3.7778,36.0,3.0,36.0,2.0,3.826,,,,,,,,,,,,,,,
N3_demo_final,0,greedy,5000,19.5842,72.0,5.009,23.0,1.0,3.3012,19.0,2.0,2.6576,12.0,3.0,23.0,2.0,2.9794,,,,,,,,,,,,,,,
N3_demo_final,0,random,5000,30.2398,179.0,3.6634,21.0,1.0,4.1904,27.0,2.0,6.0652,54.0,3.0,54.0,2.0,5.127800000000001,,,,,,,,,,,,,,,
N3_demo_final,1,whittle,5000,18.058,68.0,3.5544,15.0,1.0,2.8832,15.0,2.0,2.9124,12.0,3.0,15.0,2.0,2.8978,,,,,,,,,,,,,,,
N3_demo_final,1,round_robin,5000,22.6362,91.0,2.511,15.0,1.0,3.2094,21.0,2.0,4.5688,27.0,3.0,27.0,2.0,3.8891,,,,,,,,,,,,,,,
N3_demo_final,1,periodic,5000,22.2242,92.0,4.5072,24.0,1.0,3.6496,25.0,2.0,3.4726,18.0,3.0,25.0,2.0,3.5610999999999997,,,,,,,,,,,,,,,
N3_demo_final,1,greedy,5000,18.8842,65.0,4.8396,17.0,1.0,3.1802,15.0,2.0,2.5614,12.0,3.0,17.0,2.0,2.8708,,,,,,,,,,,,,,,
N3_demo_final,1,random,5000,29.0094,155.0,3.7608,36.0,1.0,4.4106,32.0,2.0,5.4758,48.0,3.0,48.0,2.0,4.943199999999999,,,,,,,,,,,,,,,
N3_demo_final,2,whittle,5000,18.3202,73.0,3.5878,14.0,1.0,2.9226,13.0,2.0,2.9624,13.0,3.0,14.0,2.0,2.9425,,,,,,,,,,,,,,,
N3_demo_final,2,round_robin,5000,23.379,103.0,2.4588,12.0,1.0,3.3666,21.0,2.0,4.729,33.0,3.0,33.0,2.0,4.0478000000000005,,,,,,,,,,,,,,,
N3_demo_final,2,periodic,5000,22.3522,83.0,4.4352,24.0,1.0,3.6968,18.0,2.0,3.5078,24.0,3.0,24.0,2.0,3.6023,,,,,,,,,,,,,,,
N3_demo_final,2,greedy,5000,19.083,74.0,4.891,24.0,1.0,3.2284,14.0,2.0,2.5784,12.0,3.0,24.0,2.0,2.9034,,,,,,,,,,,,,,,
N3_demo_final,2,random,5000,28.8318,135.0,3.4178,20.0,1.0,4.2578,27.0,2.0,5.6328,38.0,3.0,38.0,2.0,4.9453,,,,,,,,,,,,,,,
N3_demo_final,3,whittle,5000,18.0458,62.0,3.56,14.0,1.0,2.8788,11.0,2.0,2.9094,11.0,3.0,14.0,2.0,2.8941,,,,,,,,,,,,,,,
N3_demo_final,3,round_robin,5000,23.2068,79.0,2.4786,15.0,1.0,3.2922,18.0,2.0,4.7146,21.0,3.0,21.0,2.0,4.0034,,,,,,,,,,,,,,,
N3_demo_final,3,periodic,5000,22.0558,83.0,4.3416,18.0,1.0,3.749,23.0,2.0,3.4054,24.0,3.0,24.0,2.0,3.5772000000000004,,,,,,,,,,,,,,,
N3_demo_final,3,greedy,5000,18.7926,62.0,4.8356,16.0,1.0,3.1892,13.0,2.0,2.5262,11.0,3.0,16.0,2.0,2.8577,,,,,,,,,,,,,,,
N3_demo_final,3,random,5000,28.8212,120.0,3.3574,28.0,1.0,4.2938,29.0,2.0,5.6254,37.0,3.0,37.0,2.0,4.9596,,,,,,,,,,,,,,,
N3_demo_final,4,whittle,5000,18.4258,65.0,3.6052,14.0,1.0,2.9352,12.0,2.0,2.9834,12.0,3.0,14.0,2.0,2.9593,,,,,,,,,,,,,,,
N3_demo_final,4,round_robin,5000,23.2626,103.0,2.514,12.0,1.0,3.4104,24.0,2.0,4.6426,27.0,3.0,27.0,2.0,4.0265,,,,,,,,,,,,,,,
N3_demo_final,4,periodic,5000,22.641,79.0,4.5792,24.0,1.0,3.7506,24.0,2.0,3.5202,22.0,3.0,24.0,2.0,3.6353999999999997,,,,,,,,,,,,,,,
N3_demo_final,4,greedy,5000,19.3942,70.0,5.0394,20.0,1.0,3.275,15.0,2.0,2.6016,12.0,3.0,20.0,2.0,2.9383,,,,,,,,,,,,,,,
N3_demo_final,4,random,5000,28.7252,110.0,3.4978,26.0,1.0,4.3442,28.0,2.0,5.513,33.0,3.0,33.0,2.0,4.928599999999999,,,,,,,,,,,,,,,
N3_demo_final,5,whittle,5000,18.6824,84.0,3.6842,15.0,1.0,2.9808,17.0,2.0,3.0122,14.0,3.0,17.0,2.0,2.9965,,,,,,,,,,,,,,,
N3_demo_final,5,round_robin,5000,24.8142,124.0,2.4696,12.0,1.0,3.582,27.0,2.0,5.0602,39.0,3.0,39.0,2.0,4.3210999999999995,,,,,,,,,,,,,,,
N3_demo_final,5,periodic,5000,22.969,85.0,4.524,24.0,1.0,3.8084,19.0,2.0,3.6094,24.0,3.0,24.0,2.0,3.7089,,,,,,,,,,,,,,,
N3_demo_final,5,greedy,5000,19.5352,83.0,5.0428,19.0,1.0,3.2724,15.0,2.0,2.6492,15.0,3.0,19.0,2.0,2.9608,,,,,,,,,,,,,,,
N3_demo_final,5,random,5000,30.5726,146.0,3.5004,21.0,1.0,4.3648,27.0,2.0,6.1142,43.0,3.0,43.0,2.0,5.2395,,,,,,,,,,,,,,,
N3_demo_final,6,whittle,5000,18.5864,83.0,3.6378,19.0,1.0,2.9572,15.0,2.0,3.0114,14.0,3.0,19.0,2.0,2.9843,,,,,,,,,,,,,,,
N3_demo_final,6,round_robin,5000,23.3892,91.0,2.5632,15.0,1.0,3.279,21.0,2.0,4.756,27.0,3.0,27.0,2.0,4.0175,,,,,,,,,,,,,,,
N3_demo_final,6,periodic,5000,22.7118,85.0,4.6224,30.0,1.0,3.7308,19.0,2.0,3.5426,24.0,3.0,30.0,2.0,3.6367000000000003,,,,,,,,,,,,,,,
N3_demo_final,6,greedy,5000,19.4646,91.0,5.0282,19.0,1.0,3.2666,18.0,2.0,2.6344,15.0,3.0,19.0,2.0,2.9505,,,,,,,,,,,,,,,
N3_demo_final,6,random,5000,27.9334,113.0,3.3994,24.0,1.0,4.236,26.0,2.0,5.354,32.0,3.0,32.0,2.0,4.795,,,,,,,,,,,,,,,
N3_demo_final,7,whittle,5000,18.4996,83.0,3.6404,17.0,1.0,2.9464,14.0,2.0,2.9888,14.0,3.0,17.0,2.0,2.9676,,,,,,,,,,,,,,,
N3_demo_final,7,round_robin,5000,23.1612,94.0,2.547,18.0,1.0,3.516,21.0,2.0,4.5274,30.0,3.0,30.0,2.0,4.0217,,,,,,,,,,,,,,,
