experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s
channel_sensitivity,uniform,0,whittle,80,45.84375,78.5,5.4125,12.0,1.0,4.5125,10.0,1.5,4.4,11.0,2.0,3.475,8.0,3.0,2.8875,6.0,5.0,12.0,2.0,3.5875,0.003055,0.00151940000068862
channel_sensitivity,uniform,0,round_robin,80,57.575,130.5,4.25,15.0,1.0,3.275,10.0,1.5,4.2,15.0,2.0,5.2125,15.0,3.0,4.875,15.0,5.0,15.0,2.0,4.7625,0.0001875,0.0006410999994841404
channel_sensitivity,uniform,0,periodic,80,68.34375,106.0,6.8625,13.0,1.0,6.2625,13.0,1.5,6.4,14.0,2.0,5.825,12.0,3.0,4.3625,12.0,5.0,14.0,2.0,5.529166666666668,0.00020625,0.0005832999959238805
channel_sensitivity,uniform,0,greedy,80,46.55625,77.5,7.6125,19.0,1.0,5.8125,12.0,1.5,4.425,10.0,2.0,3.375,9.0,3.0,2.25,6.0,5.0,19.0,2.0,3.35,0.00075625,0.0005820999940624461
channel_sensitivity,uniform,0,random,80,74.4,153.0,3.9125,13.0,1.0,10.025,32.0,1.5,5.725,15.0,2.0,4.6875,16.0,3.0,5.9875,17.0,5.0,32.0,2.0,5.466666666666666,0.00151625,0.0006759000025340356
channel_sensitivity,mild_hetero,0,whittle,80,53.5375,115.0,5.7875,13.0,1.0,5.15,14.0,1.5,4.7125,15.0,2.0,4.325,11.0,3.0,3.525,11.0,5.0,15.0,2.0,4.187500000000001,0.003005,0.0011866999993799254
channel_sensitivity,mild_hetero,0,round_robin,80,103.29375,253.0,3.625,10.0,1.0,4.7125,14.0,1.5,3.575,10.0,2.0,5.4625,15.0,3.0,13.8125,41.0,5.0,41.0,2.0,7.616666666666667,0.00018625,0.0005918000024394132
channel_sensitivity,mild_hetero,0,periodic,80,73.6875,123.0,8.975,26.0,1.0,6.425,14.0,1.5,6.3375,13.0,2.0,5.6125,13.0,3.0,5.1125,13.0,5.0,26.0,2.0,5.6875,0.000165,0.0005634999979520217
channel_sensitivity,mild_hetero,0,greedy,80,55.41875,114.0,8.8125,19.0,1.0,6.6375,16.0,1.5,4.8875,12.0,2.0,4.0625,10.0,3.0,2.9375,7.0,5.0,19.0,2.0,3.9625,0.000755,0.000607900001341477
channel_sensitivity,mild_hetero,0,random,80,102.09375,203.5,3.475,10.0,1.0,10.7625,31.0,1.5,4.9625,15.0,2.0,8.85,25.0,3.0,9.2,28.0,5.0,31.0,2.0,7.670833333333333,0.0013975,0.0007272000002558343
channel_sensitivity,strong_hetero,0,whittle,80,72.9,150.0,7.85,20.0,1.0,6.7,17.0,1.5,5.9625,14.0,2.0,5.775,15.0,3.0,5.15,13.0,5.0,20.0,2.0,5.629166666666667,0.00281875,0.0010604999988572672
channel_sensitivity,strong_hetero,0,round_robin,80,96.075,198.0,3.625,10.0,1.0,4.025,10.0,1.5,4.7,15.0,2.0,8.5875,25.0,3.0,10.25,25.0,5.0,25.0,2.0,7.845833333333334,0.00018,0.0005648999940603971
channel_sensitivity,strong_hetero,0,periodic,80,84.79375,154.0,8.975,26.0,1.0,6.2875,13.0,1.5,7.975,24.0,2.0,7.6875,22.0,3.0,5.475,14.0,5.0,26.0,2.0,7.045833333333333,0.00017,0.0005743000001530163
channel_sensitivity,strong_hetero,0,greedy,80,75.8375,154.0,11.1,26.0,1.0,7.7,17.0,1.5,7.5,19.0,2.0,5.125,13.0,3.0,4.5625,13.0,5.0,26.0,2.0,5.729166666666667,0.00074125,0.0005912000051466748
channel_sensitivity,strong_hetero,0,random,80,118.15,255.0,5.6125,20.0,1.0,4.425,13.0,1.5,8.95,29.0,2.0,6.9375,22.0,3.0,13.4375,40.0,5.0,40.0,2.0,9.775,0.00217875,0.0010454000002937391
