experiment_name,scenario_name,strategy,slots_mean,average_weighted_aoi_mean,peak_weighted_aoi_mean,avg_aoi_0_mean,peak_aoi_0_mean,weight_0_mean,avg_aoi_1_mean,peak_aoi_1_mean,weight_1_mean,avg_aoi_2_mean,peak_aoi_2_mean,weight_2_mean,avg_aoi_3_mean,peak_aoi_3_mean,weight_3_mean,avg_aoi_4_mean,peak_aoi_4_mean,weight_4_mean,system_peak_aoi_mean,high_weight_threshold_mean,high_weight_avg_aoi_mean,avg_decision_time_ms_mean,total_runtime_s_mean,slots_std,average_weighted_aoi_std,peak_weighted_aoi_std,avg_aoi_0_std,peak_aoi_0_std,weight_0_std,avg_aoi_1_std,peak_aoi_1_std,weight_1_std,avg_aoi_2_std,peak_aoi_2_std,weight_2_std,avg_aoi_3_std,peak_aoi_3_std,weight_3_std,avg_aoi_4_std,peak_aoi_4_std,weight_4_std,system_peak_aoi_std,high_weight_threshold_std,high_weight_avg_aoi_std,avg_decision_time_ms_std,total_runtime_s_std
channel_sensitivity,mild_hetero,greedy,80.0,55.41875,114.0,8.8125,19.0,1.0,6.6375,16.0,1.5,4.8875,12.0,2.0,4.0625,10.0,3.0,2.9375,7.0,5.0,19.0,2.0,3.9625,0.000755,0.000607900001341477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,mild_hetero,periodic,80.0,73.6875,123.0,8.975,26.0,1.0,6.425,14.0,1.5,6.3375,13.0,2.0,5.6125,13.0,3.0,5.1125,13.0,5.0,26.0,2.0,5.6875,0.000165,0.0005634999979520217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,mild_hetero,random,80.0,102.09375,203.5,3.475,10.0,1.0,10.7625,31.0,1.5,4.9625,15.0,2.0,8.85,25.0,3.0,9.2,28.0,5.0,31.0,2.0,7.670833333333333,0.0013975,0.0007272000002558343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,mild_hetero,round_robin,80.0,103.29375,253.0,3.625,10.0,1.0,4.7125,14.0,1.5,3.575,10.0,2.0,5.4625,15.0,3.0,13.8125,41.0,5.0,41.0,2.0,7.616666666666667,0.00018625,0.0005918000024394132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,mild_hetero,whittle,80.0,53.5375,115.0,5.7875,13.0,1.0,5.15,14.0,1.5,4.7125,15.0,2.0,4.325,11.0,3.0,3.525,11.0,5.0,15.0,2.0,4.187500000000001,0.003005,0.0011866999993799254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,strong_hetero,greedy,80.0,75.8375,154.0,11.1,26.0,1.0,7.7,17.0,1.5,7.5,19.0,2.0,5.125,13.0,3.0,4.5625,13.0,5.0,26.0,2.0,5.729166666666667,0.00074125,0.0005912000051466748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,strong_hetero,periodic,80.0,84.79375,154.0,8.975,26.0,1.0,6.2875,13.0,1.5,7.975,24.0,2.0,7.6875,22.0,3.0,5.475,14.0,5.0,26.0,2.0,7.045833333333333,0.00017,0.0005743000001530163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,strong_hetero,random,80.0,118.15,255.0,5.6125,20.0,1.0,4.425,13.0,1.5,8.95,29.0,2.0,6.9375,22.0,3.0,13.4375,40.0,5.0,40.0,2.0,9.775,0.00217875,0.0010454000002937391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,strong_hetero,round_robin,80.0,96.075,198.0,3.625,10.0,1.0,4.025,10.0,1.5,4.7,15.0,2.0,8.5875,25.0,3.0,10.25,25.0,5.0,25.0,2.0,7.845833333333334,0.00018,0.0005648999940603971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,strong_hetero,whittle,80.0,72.9,150.0,7.85,20.0,1.0,6.7,17.0,1.5,5.9625,14.0,2.0,5.775,15.0,3.0,5.15,13.0,5.0,20.0,2.0,5.629166666666667,0.00281875,0.0010604999988572672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,uniform,greedy,80.0,46.55625,77.5,7.6125,19.0,1.0,5.8125,12.0,1.5,4.425,10.0,2.0,3.375,9.0,3.0,2.25,6.0,5.0,19.0,2.0,3.35,0.00075625,0.0005820999940624461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,uniform,periodic,80.0,68.34375,106.0,6.8625,13.0,1.0,6.2625,13.0,1.5,6.4,14.0,2.0,5.825,12.0,3.0,4.3625,12.0,5.0,14.0,2.0,5.529166666666668,0.00020625,0.0005832999959238805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,uniform,random,80.0,74.4,153.0,3.9125,13.0,1.0,10.025,32.0,1.5,5.725,15.0,2.0,4.6875,16.0,3.0,5.9875,17.0,5.0,32.0,2.0,5.466666666666666,0.00151625,0.0006759000025340356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_sensitivity,uniform,round_robin,80.0,57.575,130.5,4.25,15.0,1.0,3.275,10.0,1.5,4.2,15.0,2.0,5.2125,15.0,3.0,4.875,15.0,5.0,15.0,2.0,4.7625,0.0001875,0.0006410999994841404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
